location_key,area_sq_km,latitude,longitude
AW,180,12.511063,-69.974224
AZ,86600,40.3,47.7
BA,51210,44,18
BB,430,13.17,-59.5525
BD,147630,24.016667,89.866667
BD_A,13225,22.5,90.333333
BD_A_02,452526,22.1508,90.1264
BD_A_06,2784,22.8,90.37
BD_A_07,841017,22.178531,90.710103
BD_A_25,174646,22.6431,90.2
BD_A_50,315752,22.58,89.97
BD_A_51,796003,22.3542,90.3181
BD_B,33771,22.916667,91.5
BD_B_01,4479,21.8,92.4
BD_B_04,,23.9528,91.1167
BD_B_08,,23.4583,91.1833
BD_B_09,,23.2139,90.6361
BD_B_10,,22.3375,91.8389
BD_B_11,,21.45,91.9833
BD_B_16,928,23.0167,91.3917
BD_B_29,,23.0417,91.9944
BD_B_31,,22.95,90.825
BD_B_47,3600,22.75,91.16667
BD_B_56,6116,22.633333,92.2
BD_C,20593,24.166667,90.416667
BD_C_13,1463,23.7487,90.3921
BD_C_15,,23.5,89.83
BD_C_17,,23.2,89.8
BD_C_18,,24,90.43
BD_C_26,2689,24.433333,90.783333
BD_C_33,,23.85,90.01
BD_C_35,,23.46,90.54
BD_C_36,,23.17,90.1
BD_C_40,,23.6,90.5
BD_C_42,,24,90.83333
BD_C_53,,23.7,89.5
BD_C_62,,23.25,90.36667
BD_C_63,,24.3,89.92
